datetime,auth_node,sub_node,same_auth_sub,local_pow,timeToSync,timeToReceiveMessage,packet_size_bytes
1648345714474,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1224,3176,2
1648345723248,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,981,7241,2
1648345728707,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1271,3685,2
1648345735262,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1114,4826,2
1648345741548,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1231,4444,4
1648345750056,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1190,6796,4
1648345756514,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1051,4921,4
1648345762138,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1172,3789,4
1648345769414,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1076,5687,4
1648345777855,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1039,6787,4
1648345792084,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1285,12378,4
1648345799164,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1130,5325,4
1648345805309,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1147,4508,4
1648590621634,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,250,883,2
1648590625742,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,104,3956,2
1648590630391,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,117,4459,2
1648590632832,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,100,2290,2
1648590638421,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,100,5440,2
1648590639571,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,999,2
1648590643631,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,113,3895,2
1648590644160,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,104,367,2
1648590646233,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,100,1931,2
1648590648452,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,96,2070,2
1648590649163,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,560,4
1648590650732,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,119,1399,4
1648590658284,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,100,7402,4
1648590661710,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,112,3268,4
1648590667004,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,106,5136,4
1648590669881,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,85,2746,4
1648590671307,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,104,1270,4
1648590675166,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,116,3671,4
1648590682925,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,138,7554,4
1648590703299,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,352,696,2
1648590705932,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,158,2409,2
1648590708444,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,110,2332,2
1648590710242,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,163,1557,2
1648590710942,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,547,2
1648590712027,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,97,944,2
1648590712493,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,103,308,2
1648590714754,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,100,2110,2
1648590726963,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,129,11989,2
1648590727945,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,110,822,2
1648590730043,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,99,1946,4
1648590732751,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,96,2508,4
1648590737182,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,143,4244,4
1648590740275,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,99,2942,4
1648590750998,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,146,10529,4
1648590751884,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,119,720,4
1648590753543,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,103,1478,4
1648590756101,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,274,2184,4
1648590761363,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,191,5000,4
1648590764877,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,113,3363,4
1648590800295,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,1439,8
1648590806207,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,110,5753,8
1648590807244,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,887,8
1648590810655,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,99,3261,8
1648590812797,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,150,1942,8
1648590815280,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,100,2332,8
1648590817940,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,103,2514,8
1648590824805,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,126,6629,8
1648590830078,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,103,5121,8
1648590831547,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,97,1320,8
1648590902052,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,266,3758,2
1648590903693,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,126,1457,2
1648590904487,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,638,2
1648590905676,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,91,1050,2
1648590908740,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,99,2914,2
1648590910740,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,152,1775,2
1648590913804,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,105,2907,2
1648590922439,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,103,8475,2
1648590926076,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,111,3477,2
1648590926806,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,98,580,2
1648590934366,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,7429,4
1648590934998,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,106,489,4
1648590936603,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,94,1417,4
1648590939451,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,138,2654,4
1648590942316,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,211,2584,4
1648590947115,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,93,4654,4
1648590949798,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,98,2519,4
1648590953716,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,154,3678,4
1648590955644,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,113,1786,4
1648590960185,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,114,4372,4
1648590966849,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,285,6251,8
1648590967778,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,101,770,8
1648590969131,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,101,1197,8
1648590970392,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,114,1099,8
1648590975571,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,149,4942,8
1648590980808,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,147,5039,8
1648590983921,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,2959,8
1648590984936,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,102,865,8
1648590986167,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,98,1079,8
1648590990913,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,130,4553,8
1648590991768,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,99,717,16
1648590993109,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,125,1101,16
1648590993758,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,97,500,16
1648590997704,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,100,3794,16
1648591002680,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,180,4751,16
1648591007592,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,119,4614,16
1648591008199,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,149,357,16
1648591010437,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,100,2069,16
1648591015240,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,90,4659,16
1648591023129,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,120,7720,16
1648591024391,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,164,1041,32
1648591029401,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,97,4862,32
